r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p06019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p06073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p32003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p30111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p56031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p49051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p04017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
